# Program:featureCounts v2.0.1; Command:"featureCounts" "-t" "gene" "-g" "gene_id" "-O" "-s" "2" "-J" "-R" "BAM" "-M" "--fraction" "-G" "data/00ref/MG1655.fna" "-T" "16" "-a" "data/00ref/MG1655_LF82_RS00415.gtf" "-o" "results/05counts/read_counts" "results/03map_reads/SRR22989389.Aligned.sortedByCoord.out.bam" "results/03map_reads/SRR22989391.Aligned.sortedByCoord.out.bam" "results/03map_reads/SRR22989390.Aligned.sortedByCoord.out.bam" "results/03map_reads/SRR22989392.Aligned.sortedByCoord.out.bam" "results/03map_reads/SRR22989396.Aligned.sortedByCoord.out.bam" "results/03map_reads/SRR22989394.Aligned.sortedByCoord.out.bam" "results/03map_reads/SRR22989398.Aligned.sortedByCoord.out.bam" "results/03map_reads/SRR22989395.Aligned.sortedByCoord.out.bam" "results/03map_reads/SRR22989399.Aligned.sortedByCoord.out.bam" "results/03map_reads/SRR22989400.Aligned.sortedByCoord.out.bam" "results/03map_reads/SRR22989397.Aligned.sortedByCoord.out.bam" "results/03map_reads/SRR22989393.Aligned.sortedByCoord.out.bam" 
Geneid	Chr	Start	End	Strand	Length	results/03map_reads/SRR22989389.Aligned.sortedByCoord.out.bam	results/03map_reads/SRR22989391.Aligned.sortedByCoord.out.bam	results/03map_reads/SRR22989390.Aligned.sortedByCoord.out.bam	results/03map_reads/SRR22989392.Aligned.sortedByCoord.out.bam	results/03map_reads/SRR22989396.Aligned.sortedByCoord.out.bam	results/03map_reads/SRR22989394.Aligned.sortedByCoord.out.bam	results/03map_reads/SRR22989398.Aligned.sortedByCoord.out.bam	results/03map_reads/SRR22989395.Aligned.sortedByCoord.out.bam	results/03map_reads/SRR22989399.Aligned.sortedByCoord.out.bam	results/03map_reads/SRR22989400.Aligned.sortedByCoord.out.bam	results/03map_reads/SRR22989397.Aligned.sortedByCoord.out.bam	results/03map_reads/SRR22989393.Aligned.sortedByCoord.out.bam
b0164	NC_000913.3	184257	185069	-	813	28.90	15.17	39.07	33.88	34.74	36.68	46.74	31.50	49.53	57.38	36.04	71.67
b0166	NC_000913.3	185123	185947	-	825	404.87	207.13	298.76	673.45	624.28	672.86	1127.07	791.43	1136.97	1157.13	1041.23	1159.64
b0167	NC_000913.3	185978	188650	-	2673	125.79	52.46	72.63	142.40	167.97	175.15	302.97	173.63	214.33	217.74	264.15	242.11
b0168	NC_000913.3	188712	189506	-	795	909.84	330.96	574.98	924.92	740.82	1181.02	1563.41	820.40	1380.24	1608.31	1062.74	1531.96
b4414	NC_000913.3	189712	189847	+	136	1894.65	932.88	1380.79	1604.33	1972.79	1603.66	2906.75	2287.18	3451.67	2850.79	2955.51	2660.84
b0169	NC_000913.3	189874	190599	+	726	8867.96	4222.06	7895.60	7380.92	8280.01	7973.18	11966.16	8323.36	11521.82	11563.57	11565.27	12895.27
b0170	NC_000913.3	190857	191708	+	852	7598.08	4083.89	6564.49	7258.48	9323.23	8286.94	15278.74	9129.93	13407.05	15009.93	13443.53	10472.86
b0171	NC_000913.3	191855	192580	+	726	469.24	244.27	383.47	426.83	399.39	498.01	691.93	395.07	649.06	622.86	614.74	641.90
b0172	NC_000913.3	192872	193429	+	558	2714.25	1314.05	1937.36	1893.66	2548.30	2134.60	2592.45	2418.00	2477.12	2644.53	3569.76	3100.85
b0173	NC_000913.3	193521	194717	+	1197	280.61	128.35	223.28	206.83	296.99	252.07	313.05	320.53	301.46	314.18	421.57	363.93
b4809	NC_000913.3	194784	194844	+	61	157.14	67.70	94.62	177.63	133	166.50	179.28	137.91	195.33	211.20	240.25	178.19
b0174	NC_000913.3	194903	195664	+	762	563.17	292.89	377.50	786.46	430.72	777.24	728.58	418.57	719.71	796.62	658.10	1029.73
b0175	NC_000913.3	195677	196534	+	858	355.70	205.83	248.25	452.07	312.79	451.82	509.81	288.25	459.03	552.47	388.39	687.99
b0176	NC_000913.3	196546	197898	+	1353	949.69	532.22	822.41	988.46	885.81	980.03	1202.32	941.69	1072.25	1245.11	1315.50	1405.31
b0177	NC_000913.3	197928	200360	+	2433	2750.84	1357.93	2276.16	2361.12	2092.79	2428.43	2658.06	2151.98	2532.48	2741.34	2967.78	3767.86
b0178	NC_000913.3	200482	200967	+	486	1838.37	984.44	1475.25	1699.40	1385.04	1778.98	1877.90	1431.01	1679.75	1724.94	1908.14	2552.06
b0179	NC_000913.3	200971	201996	+	1026	2487.40	1283.26	1924.48	1736.78	2180.77	1981.27	2594.45	2443.16	2489.09	2709.54	3136.75	3214.37
b0180	NC_000913.3	202101	202556	+	456	923.31	498	769.32	860.13	993.94	819.96	1249.11	995.81	1064.14	1220.44	1455.21	1194.17
b0181	NC_000913.3	202560	203348	+	789	1511.39	762.42	1218.16	1115.15	1259.08	1200.90	1741.53	1436.39	1452.57	1598.50	1971.06	1796.73
b0182	NC_000913.3	203348	204496	+	1149	2033.97	765.92	1182.57	1037.56	1329.14	1167.93	1498.42	1533.32	1681.58	1761.04	2246.89	1554.88
b0183	NC_000913.3	204493	205089	+	597	294.15	178.08	222.11	228.77	326.66	262.68	449.01	395.03	411.94	471.02	544.19	320.41
b0184	NC_000913.3	205126	208608	+	3483	1467.39	714.50	1072.67	1031.07	1446.40	1176.66	1817.20	1577.01	1656.20	1743.95	2304.01	1632.11
b0185	NC_000913.3	208621	209580	+	960	1066.93	557.01	923.80	1095.20	1320.19	1147.26	1780.36	1384.24	1702.64	1842.24	1964.36	1449.51
b0186	NC_000913.3	209679	211820	+	2142	366.08	230.13	304.66	349.48	530.26	394.41	639.53	498.31	526.99	652.11	825.15	541.49
b0187	NC_000913.3	211877	212266	+	390	31.48	24.23	23.36	25.17	23.14	23.42	22.54	33.75	30.17	20.78	33.10	39.67
b0188	NC_000913.3	212331	213629	+	1299	165.14	85.18	111.28	84.07	213.11	122.22	165.15	224.89	170.41	165.22	305.25	188.94
b0189	NC_000913.3	213678	213932	-	255	35	26.92	25.81	70.20	51	79.25	78.16	67.32	55.45	85.32	87.68	89.32
b4406	NC_000913.3	213925	214125	-	201	37.72	15.55	26	71.71	55.75	71.49	89.95	52.07	75.25	73.63	68.87	100.89
b0190	NC_000913.3	214291	214836	+	546	95.74	36.01	67.46	70.79	63.40	59.64	83.95	92.61	80.80	78.55	80.20	150.77
b0191	NC_000913.3	214833	215255	+	423	91.05	42.25	59.42	69.05	80.21	77.97	104.88	96.90	112.74	121.72	121.93	111.92
b0192	NC_000913.3	215269	215979	+	711	97.52	47.75	75.69	74.05	70.57	75.38	83.32	63.88	91.60	110.81	105.42	147.26
b0193	NC_000913.3	216179	217003	-	825	17.07	8.73	5.70	6.96	9.97	11.29	21.39	18.06	18.19	14.62	27.67	21.26
b0194	NC_000913.3	217057	218775	-	1719	1515.08	785.56	1291.10	1374.79	2504.00	1591.58	3176.30	2496.09	2824.91	3008.62	3569.30	2327.97
b0195	NC_000913.3	218887	219594	-	708	131.65	54.28	95.02	222.99	160.74	231.33	230.50	147.58	259.48	260.63	181.30	347.68
b0196	NC_000913.3	219591	219995	-	405	58.73	25.73	46.33	113.17	90.21	138.30	193.25	109.83	199.42	178.40	150.84	220.33
b0197	NC_000913.3	220113	220928	-	816	211.39	117.80	163.78	343.32	281.74	369.74	401.08	293.30	425.06	441.73	370.54	556.40
b0198	NC_000913.3	220968	221621	-	654	60.66	42.33	57.12	120.30	116.46	120.62	201.58	135.25	146.25	190.62	168.61	165.91
b0199	NC_000913.3	221614	222645	-	1032	115.65	59.45	102.53	170.44	199.34	200.03	334.54	200.32	280.07	314.32	280.23	219.75
b0200	NC_000913.3	222833	223408	+	576	93.34	58.40	95.84	121.85	91.92	137.62	146.20	110.69	112.79	134.81	128.34	176.18
b0201	NC_000913.3	223771	225312	+	1542	8319.98	4286.92	5951.34	6460.10	7179.31	6800.58	9686.24	7106.07	7262.75	8259.58	11299.99	9827.71
b0202	NC_000913.3	225381	225457	+	77	49820.89	27626.23	39587.52	45400.02	41270.11	41901.80	47543.69	43955.72	41197.57	49210.80	65294.69	44066.22
b0203	NC_000913.3	225500	225575	+	76	135409.68	59724.60	100120.14	100589.90	83052.17	114987.57	85799.24	102541.17	90874.81	92522.12	115903.22	176078.24
b0204	NC_000913.3	225759	228662	+	2904	9083.35	5692.21	7801.76	8477.62	9740.05	8409.64	11733.72	9327.17	9826.33	11899.45	13446.43	12535.45
b0205	NC_000913.3	228756	228875	+	120	114.51	63.97	72.58	119.47	112.47	114.54	111.67	86.29	99.98	120.63	124.62	151.87
b0206	NC_000913.3	228928	229004	+	77	345426.72	132663.09	218610.38	206068.29	186617.01	385112.57	206071.59	202894.33	212600.16	200822.70	278068.31	256884.88
b0207	NC_000913.3	229167	229970	+	804	67.23	32.37	48.62	45.26	352.33	47.45	397.69	326.71	357.99	276.41	379.03	58.47
b0208	NC_000913.3	229967	230881	-	915	25.47	16.11	21.28	30.48	23.33	27.26	35.05	25.23	49.91	40.12	34.33	56.90
b0209	NC_000913.3	231122	231922	+	801	263.46	146.61	192.61	288.52	260.29	281.22	391.07	289.05	329.27	381.61	451.83	428.63
b0210	NC_000913.3	231926	232549	+	624	67.66	32.81	58.16	51.18	73.54	46.45	60.66	62.08	45.23	53.50	113.92	70.65
b0211	NC_000913.3	232597	233955	-	1359	2067.68	1020.92	1504.49	1034.33	2020.82	1132.34	1638.96	2133.94	1474.64	1532.65	3037.28	1584.70
b0212	NC_000913.3	234027	234782	-	756	27.81	21.96	27.43	47.40	30.92	46.26	64.39	42.18	42.40	68.66	65.51	85.20
b4815	NC_000913.3	234288	234320	+	33	12.56	3.88	8.93	7.50	10.38	6.96	8.70	9.25	11.60	8.75	11.25	8.11
b0213	NC_000913.3	234816	235538	+	723	37.53	23.92	19.93	37.61	61.79	51.85	70.73	45.61	57.71	76.04	66.34	49.76
b0214	NC_000913.3	235535	236002	-	468	84.51	63.46	68.33	92.34	50.84	95.07	86.65	49.18	74.56	81.79	87.92	159.19
b0215	NC_000913.3	236067	236798	+	732	69.62	31.75	66.45	93.66	134.00	109.35	248.68	174.93	247.56	193.81	221.83	125.93
b0216	NC_000913.3	236931	237007	+	77	382663.05	150019.41	239255.21	230375.35	215147.37	417960.41	248345.39	236902.64	263148.95	245524.66	325962.73	287264.44
b0217	NC_000913.3	237335	238120	+	786	37.24	35.38	51.79	28.09	141.86	24.57	160.24	132.29	119.90	141.11	170.39	39.23
b4586	NC_000913.3	238257	238736	-	480	3.99	3.25	5.04	7.27	3.48	3.86	6.59	5.00	8.04	7.98	10.83	5.78
b0218	NC_000913.3	238746	239084	-	339	0.33	0	1.42	2.19	4.90	2	4.58	1.97	6.86	3.22	2.96	1.84
b4503	NC_000913.3	239190	239378	+	189	4.00	2	0.65	0.93	4.26	1.21	2.33	2.42	8.25	4.23	4.02	1.77
b0219	NC_000913.3	239419	240189	-	771	32.24	24	20.82	42.67	32.73	65.67	48.25	35.34	42.27	53.58	44.28	87.19
b0220	NC_000913.3	240343	240816	+	474	45.44	22.32	58.09	42.04	145.60	33.66	69.67	152.45	56.04	60.21	199.51	86.32
b0221	NC_000913.3	240859	243303	-	2445	138.74	62.57	118.03	45.25	105.68	51.64	48.37	104.94	54.61	65.63	179.07	79.10
b0222	NC_000913.3	243543	244121	+	579	101.28	48.34	68.10	178.82	151.41	184.92	226.59	136.14	214.01	239.65	185.85	357.43
b0223	NC_000913.3	244327	245094	+	768	92.53	44.91	63.90	153.70	83.72	143.87	214.71	102.21	194.10	203.38	148.20	240.06
b0224	NC_000913.3	245065	245805	-	741	759.66	412.26	579.39	335.67	679.24	383.85	355.03	712.75	331.72	352.00	1049.22	491.98
b0225	NC_000913.3	245961	246239	-	279	42.16	10.90	28.17	48.50	53.25	53.93	61.27	73.14	51.75	48.75	76.42	69.43
b0226	NC_000913.3	246242	246502	-	261	25.43	21.70	15.50	28.31	34.12	33.67	49.82	53.20	46.65	44.31	62.31	68.82
b0227	NC_000913.3	246712	247461	+	750	7.78	2.41	5.49	1.10	8.61	5.75	8.37	7.72	16.08	14.05	18.05	6.80
b0228	NC_000913.3	247637	248134	+	498	2.87	3.70	6.48	9.25	7.33	5.50	13.15	7.67	8.60	10.89	7.49	8.95
b0229	NC_000913.3	248358	250070	-	1713	11.16	8.07	6.48	13.24	12.58	9.98	13.48	11.56	11.74	10.55	15.18	13.14
b0230	NC_000913.3	250072	250827	+	756	6.58	1.53	1.75	4.63	7.52	4.45	6.70	11.02	14.13	10.08	6.69	8.36
b0231	NC_000913.3	250898	251953	+	1056	32.37	16.58	26.15	35.92	57.48	35.69	74.59	42.12	84.17	79.78	101.28	53.07
b0232	NC_000913.3	252005	252298	+	294	6.75	3.72	8.22	5.60	20	15.82	27.83	14.85	22.32	36.12	28.18	21.95
b0233	NC_000913.3	252301	252699	+	399	5.60	3.58	5	12.95	18.33	11.70	18.27	12.04	23.70	26.75	15.37	15.08
b0234	NC_000913.3	252709	253161	+	453	5.50	4.65	2.60	3.70	14.51	8.38	23.08	9.68	14.76	26.31	14.02	10.43
b0235	NC_000913.3	253467	253733	+	267	1.31	0.05	0.17	0.33	3.83	1.42	3.96	2	3.50	7.53	4.08	3.83
b0236	NC_000913.3	253702	254202	+	501	1	2.19	2.83	3.25	2.43	1.39	9.38	4.40	5.01	3.68	1.60	2.44
b0237	NC_000913.3	254259	255716	-	1458	906.92	496.54	752.21	1114.73	822.52	1122.98	1057.83	843.37	984.23	1110.03	1232.93	1748.65
b0238	NC_000913.3	255977	256435	+	459	598.51	260.85	519.25	503.00	719.19	551.32	1074.38	730.92	1040.33	1015.23	1137.92	738.85
b0239	NC_000913.3	256527	257771	+	1245	261.33	124.69	229.88	133.82	375.21	188.65	317.22	407.78	331.11	270.94	537.65	224.59
b0240	NC_000913.3	257829	259006	+	1178	146.73	62.94	108.62	179.95	130.19	206.12	206.74	118.39	218.89	214.03	229.47	251.51
b4710	NC_000913.3	257923	258426	-	504	12.17	9.94	11.56	15.19	23.70	16.78	40.51	22.60	43.23	40.20	27.50	21.79
b4709	NC_000913.3	258345	258620	-	276	11.93	3.74	6.62	4.57	12.45	8.15	29.13	17.43	31.85	32.38	23.03	13.12
b0241	NC_000913.3	259045	260100	-	1056	5.76	2.30	3.80	9.24	4.80	4.70	10.98	9.06	10.57	11.23	16.16	11.56
b0242	NC_000913.3	260388	261491	+	1104	164.87	84.08	107.49	229.33	306.65	280.53	426.18	295.33	444.04	481.11	459.28	432.90
b0243	NC_000913.3	261503	262756	+	1254	207.95	113.47	156.11	360.20	411.97	393.19	638.59	477.89	659.97	692.99	612.63	591.13
b0244	NC_000913.3	262871	262946	+	76	9992.11	6190.64	6694.66	12162.72	14030.54	13321.97	16801.92	12864.61	12591.65	17866.67	18808.52	17493.69
b4626	NC_000913.3	263150	263212	-	63	0	0.20	0	0.19	0.33	0	0.12	0.20	0	1	0	0
b0245	NC_000913.3	263328	263669	-	342	2.20	1.42	1.23	1.07	1.74	2.47	4.24	2.21	4.04	2.26	3.72	1.91
b0246	NC_000913.3	263690	264007	-	318	2.08	0.37	1.16	1.35	1.96	1.55	4.55	1.25	2.54	1.17	3.79	1.48
b4504	NC_000913.3	264026	264247	-	222	0.25	0.10	0.20	1	0.48	0.88	0.68	0.17	0.20	0.59	1.09	0.50
b0247	NC_000913.3	264256	264732	-	477	1.73	2.31	2.33	2.98	1.67	0.93	1.86	1.17	7.37	1.72	2.37	6.86
b0248	NC_000913.3	264748	265206	-	459	24.05	11.20	18.34	17.04	20.84	23.48	29.53	22.84	25.82	23.32	34.07	24.97
b0249	NC_000913.3	265304	265543	-	240	0.57	0.43	0.06	6.06	3.20	3.55	2.75	2.50	4.50	3.67	1.74	3.47
b0250	NC_000913.3	265620	266087	-	468	23.65	11	18.33	62.92	14.60	70.08	25.82	26.79	23.32	25.12	27.38	123.97
b0251	NC_000913.3	266110	266553	-	444	4.27	5.90	8.71	11.78	7.37	21.46	6.89	6.58	3.66	8.05	9.61	28.99
b4627	NC_000913.3	266553	266774	-	222	3.50	9.50	5.33	4.99	6	1.79	4.98	2.31	1.28	1.50	5.91	9.32
b4628	NC_000913.3	266776	266967	-	192	0.50	0.50	0	0.10	0.11	0	0.50	1.07	0.83	0	0	2.25
b0252	NC_000913.3	267184	268005	-	822	7.20	2.42	5.66	5.54	3.14	6.78	12.15	5.01	6.84	3.64	8.18	9.58
b0253	NC_000913.3	268097	268960	-	864	23.37	16.56	20.35	19.40	23.23	19.53	25.87	23.66	37.60	19.64	38.72	28.84
b0254	NC_000913.3	269289	270182	-	894	8.41	3.06	4.02	13.54	11.08	5.91	6.12	17.16	10.40	10.85	15.85	15.08
b4587	NC_000913.3	270278	272190	+	1913	57.90	26.59	41.89	54.45	59.68	56.59	59.66	63.81	70.28	74.10	94.47	84.14
b0256	NC_000913.3	270603	271754	+	1152	14.23	11.63	14.68	28.23	27.41	25.17	31.53	22.81	29.94	31.33	34.08	34.69
b4690	NC_000913.3	272580	272654	+	75	5.39	5	2.21	6	3	3.10	5.25	11	4.45	1.25	0.14	12.50
b0258	NC_000913.3	272847	273992	+	1146	60.93	25.51	54.47	43.59	56.72	54.27	46.91	46.43	36.14	61.22	68.64	59.55
b0259	NC_000913.3	274101	275081	-	981	10.47	4.17	7.97	12.56	14.75	13.83	19.38	16.30	18.19	24.42	22.95	18.12
b0260	NC_000913.3	275325	276728	+	1404	15.36	5.85	7.98	14.33	15.41	14.62	14.95	23.64	15.45	13.06	15.06	20.91
b0261	NC_000913.3	276715	277647	+	933	33.61	13.88	31.33	36.87	19.65	34.00	22.08	31.25	27.40	25.37	39.21	82.69
b0262	NC_000913.3	277756	278802	-	1047	7.73	5.15	4.62	8.83	6.62	2.93	10.14	7.28	9.89	4.88	7.80	15.29
b0263	NC_000913.3	278814	279162	-	349	1.82	1	1.08	1	6.25	0	2	4.62	6.33	5.22	4.85	2.55
b0264	NC_000913.3	279178	279681	-	504	13.76	9.28	11.98	15.05	27.97	14.85	41.34	27.07	46.04	41.80	34.05	23.68
b0265	NC_000913.3	279600	279875	-	276	7.47	3.29	5.18	6.68	16.45	5.53	28.84	16.16	27.04	30.96	19.38	10.25
b4708	NC_000913.3	279931	280104	+	174	4.23	2.06	3.68	6.00	5.64	4.65	6.23	5.97	6.24	4.76	10.66	7.68
b4505	NC_000913.3	280114	280362	-	249	9.17	7.33	10.31	14.46	18.78	13.86	16.73	19.44	21.31	39.53	23.97	23.88
b0266	NC_000913.3	280385	280735	-	351	12.60	6.75	8.08	30.54	10.08	22.25	23.33	12.60	20.13	21.68	13.74	37.25
b0267	NC_000913.3	280829	281983	-	1155	4.28	2.91	1.98	12.09	4.76	5.33	5.77	6.41	8.61	6.42	6.37	10.65
b0268	NC_000913.3	282278	283186	+	909	9.41	12.88	6.62	22.38	6.22	27.38	14.61	14.27	12.01	8.63	11.99	32.87
b0269	NC_000913.3	283201	285168	+	1968	59.36	33.94	45.44	46.89	37.31	45.65	62.72	52.17	59.77	73.44	65.36	77.78
b0270	NC_000913.3	285395	286777	+	1383	10.60	8.24	4.33	3.57	7.05	10.53	19.16	9.12	11.13	8.25	14.19	14.61
b0271	NC_000913.3	286789	288399	+	1611	10.02	7.32	7.34	4.38	15.06	10.08	12.17	13.98	14.21	10.28	13.45	16.90
b0272	NC_000913.3	288404	289162	-	759	59.81	18.55	49.32	59.81	98.78	47.98	118.34	103.35	113.54	143.25	142.42	71.61
b0273	NC_000913.3	289301	290305	-	1005	13.79	11.07	8.42	17.39	35.52	20.96	48.28	30.04	33.41	29.89	49.24	36.80
b4766	NC_000913.3	290275	290370	-	96	0.50	0	0	0.88	0.30	0.60	2.14	1.05	1	4	4.25	2.92
b4688	NC_000913.3	290510	290638	+	129	5.64	2.17	1.14	5.79	4.43	3.67	7.70	3.93	8.79	9.69	7.60	11.00
b0274	NC_000913.3	290649	291152	-	504	13.62	9.28	11.98	15.05	27.90	14.85	42.34	27.07	46.04	41.80	34.05	23.68
b0275	NC_000913.3	291071	291346	-	276	7.47	3.29	5.18	6.68	16.38	5.53	28.84	16.16	27.04	30.96	19.38	10.50
b0276	NC_000913.3	291500	292231	+	732	13.27	19.10	12.08	22.38	13.50	16.57	20.38	11.54	20.59	26.68	32.11	44.49
b0277	NC_000913.3	292322	292948	-	627	18.50	4.34	8.28	9.74	22.46	10.80	26.91	26.12	15.46	20.97	27.82	26.22
b0278	NC_000913.3	293220	293918	-	699	18.32	7.99	15.05	14.58	21.16	20.76	19.92	22.88	39.67	18.33	38.82	28.99
b0279	NC_000913.3	293945	294799	-	855	7.82	3.29	2.84	6.03	6.64	3.00	5.59	11.54	12.35	7.29	9.37	9.06
b4729	NC_000913.3	294918	295142	-	225	1.10	1	1.51	1.50	6.94	8.50	23.70	10.40	28.71	26.77	12.24	7.85
b0280	NC_000913.3	295139	295579	-	441	37	22.42	38.29	137.13	75.44	155.25	147.67	103.79	184.17	189.74	141.99	193.43
b0281	NC_000913.3	295696	297096	-	1401	33.90	15.60	31.05	42.66	106.46	60.83	149.95	93.52	135.64	169.17	142.88	78.47
b0282	NC_000913.3	297381	297791	-	411	2.75	3.23	4.50	4.67	6.35	4.10	3.42	2.31	6.48	5.42	7.58	1.27
b0283	NC_000913.3	297770	298726	-	957	10.74	1.49	8.30	5.45	2.72	8.19	5.15	7.49	9.63	7.40	8.82	10.68
b0284	NC_000913.3	298736	300934	-	2199	31.08	20.67	31.13	30.77	24.80	31.62	34.35	40.34	31.38	29.66	36.55	41.06
b0285	NC_000913.3	300931	301887	-	957	6.04	2.04	1.87	3.34	5.47	3.92	3.47	7.57	6.07	5.87	9.64	4.71
b0286	NC_000913.3	301884	302573	-	690	6.08	6.37	2.45	3.92	7.36	2.13	8.49	7.51	5.33	5.56	9.57	5.26
b0287	NC_000913.3	302991	303605	+	615	10.64	2.10	5.95	40.55	22.25	39.94	71.40	23.98	44.63	53.19	31.92	56.35
b0288	NC_000913.3	303853	304182	-	330	17.50	8.20	9.50	6.97	34.17	3.43	26.50	24.58	29.47	29.72	36.39	9.96
b0289	NC_000913.3	304495	305205	-	711	7.43	4.32	8.33	6.20	19.05	11.48	15.08	17.17	17.42	12.10	26.96	15.57
b0290	NC_000913.3	305174	306817	-	1644	21.89	9.21	15.05	24.01	43.39	25.81	35.87	36.90	35.81	43.30	46.17	29.55
b0291	NC_000913.3	306807	309332	-	2526	58.75	24.92	32.30	44.76	36.35	31.91	64.25	50.93	74.30	57.77	65.04	50.02
b0292	NC_000913.3	309358	310026	-	669	7.48	7.23	8.08	8.87	9.88	10.15	12.15	7.75	8.28	8.00	9.48	15.11
b0293	NC_000913.3	310084	310671	-	588	13.13	4.25	16.14	14.76	13.62	9.64	12.02	9.01	14.01	12.57	12.55	23.51
b0294	NC_000913.3	310746	311336	-	591	0.92	1.18	4.12	2.42	1.92	2.59	3.91	1.25	6.21	1.65	5.75	4.74
b0295	NC_000913.3	312112	312339	+	228	108.06	70.59	77.71	109.17	58.34	89.19	55.73	45.05	47.28	64.11	93.39	131.80
b4506	NC_000913.3	312374	312514	-	141	2.62	0	1.35	1.10	5	1.75	8.80	5.25	3.83	4.70	14.08	5.12
b0296	NC_000913.3	312514	312777	-	264	2.25	2.50	2.35	3.18	3.25	0.17	8	10.08	9.12	5.70	7.58	3.39
b4671	NC_000913.3	313141	313242	-	102	0	1	0	0.25	0.75	0	0	2	0	0	0	0.33
b4630	NC_000913.3	313716	313805	-	90	0	0	0	0.50	1	0.83	0	0	0	2	0.50	0
b0297	NC_000913.3	314357	315244	+	888	1.13	1.50	0.70	1.19	4.17	2.96	2.86	5.02	3.21	1.95	3.34	1.93
b0298	NC_000913.3	315291	315590	+	300	13.69	5.57	8.63	6.10	19.88	10.85	15.85	18.09	15.24	16.31	28.10	8.74
b0299	NC_000913.3	315587	316453	+	867	40.58	20.77	27.36	20.52	35.44	26.25	29.77	43.46	34.31	32.28	64.29	36.12
b0300	NC_000913.3	316450	317136	-	687	7.17	2.56	5.84	12.87	17.87	8.50	22.32	8.38	18.19	18.68	32.76	14.15
b4631	NC_000913.3	317439	317567	+	129	3	0.06	0.24	2	0.50	2.68	1.33	1	2.86	5.41	0	4
b0301	NC_000913.3	317726	318319	-	594	2.82	3	2.54	2.50	5.43	2.34	2.22	6.98	2.98	9.89	12.26	1.31
b0303	NC_000913.3	318331	318567	-	237	0.33	1.10	1.04	0.58	4	0	5.17	2.50	2.25	1.50	4.20	0.53
b0304	NC_000913.3	318676	320001	-	1326	5.62	4.24	4.58	5.89	10.51	7.08	10.32	11.87	4.86	15.99	14.85	9.05
b0305	NC_000913.3	320227	321081	+	855	11.08	8.80	7.83	7.72	6.56	14.61	17.36	15.50	8.16	15.64	9.40	17.45
b0306	NC_000913.3	321608	322327	+	720	0.33	0.50	5.60	4.16	6.50	5.80	11.70	7.81	12.85	11.82	7.15	5.82
b0307	NC_000913.3	322338	323765	+	1428	14.78	7.57	10.87	20.78	39.89	28.13	37.53	27.05	40.88	35.96	60.12	39.03
b0308	NC_000913.3	323758	324453	+	696	12.27	3.67	4.72	7.87	9.70	9.58	19.42	10.37	19.31	16.10	16.68	16.13
b0310	NC_000913.3	324696	325364	-	669	5.81	1.42	8.56	3.22	6.37	5.23	2.19	9.87	10.60	8.00	14.92	11.16
b0311	NC_000913.3	325577	327247	-	1671	253.49	107.67	153.85	105.27	110.27	77.05	78.79	130.04	109.60	109.30	144.32	146.93
b0312	NC_000913.3	327261	328733	-	1473	294.54	134.70	204.75	102.35	98.63	127.48	82.38	124.65	123.27	125.07	153.92	198.42
b0313	NC_000913.3	328747	329334	-	588	119.05	67.02	100.55	49.82	75.36	65.33	61.97	72.95	64.31	81.73	112.65	92.12
b0314	NC_000913.3	329463	331496	+	2034	213.11	118.09	174.43	156.26	85.06	153.91	123.93	103.67	153.97	123.71	137.74	297.35
b4730	NC_000913.3	331802	331876	+	75	0	0	0.10	0	1	0.08	0	0	0	1	1	0
b0315	NC_000913.3	332371	333459	+	1089	25.86	13.70	27.12	26.49	32.30	42.85	80.04	54.01	84.97	91.46	68.04	47.38
b0316	NC_000913.3	333501	334433	-	933	56.21	31.95	38.05	45.80	35.90	32.47	37.55	37.77	45.07	41.12	66.02	95.10
b0317	NC_000913.3	334525	335022	-	498	1.75	1.10	4.50	1.27	1.73	3.62	2.12	2.53	2.69	4.02	2.72	3.08
b0318	NC_000913.3	335280	335885	+	606	5.93	3.56	5.77	10.02	3.28	17.17	4.41	7.22	16.59	10.08	5.65	20.79
b0319	NC_000913.3	335925	336788	+	864	7.71	5.02	3.03	5.64	3.32	12.37	7.25	2.45	3.00	16.68	7.65	13.92
b0320	NC_000913.3	336778	338325	+	1548	24.32	9.40	22.05	17.10	13.22	22.94	19.48	24.80	28.85	21.38	25.17	22.71
b0321	NC_000913.3	338325	339743	+	1419	6.68	2.83	3.48	5.08	7.68	7.55	7.30	14.03	7.06	6.62	12.36	4.59
b0322	NC_000913.3	339769	340089	+	321	7.71	2.67	3.47	6.31	6.89	9.96	10.61	4.27	6.12	5.88	9.71	12.00
b0323	NC_000913.3	340165	341115	+	951	3.38	0.28	1.21	3.80	5.87	5.30	2.85	6.77	11.31	10.63	7.93	3.39
b0324	NC_000913.3	341125	342507	+	1383	65.13	23.15	39.42	30.68	70.44	33.10	48.51	79.99	42.95	49.23	79.36	61.02
b0325	NC_000913.3	342884	343933	+	1050	174.02	105.20	161.87	180.98	181.39	188.73	237.97	203.86	212.27	216.12	251.43	248.89
b0326	NC_000913.3	344176	344991	+	816	9.44	2.79	3.80	3.47	5.57	6.51	3.91	8.30	6.28	4.30	12.19	2.18
b0327	NC_000913.3	345404	345649	+	246	124.50	100	112.59	62.34	455.91	65.20	408.16	566.71	403.64	498.14	869.82	96.01
